ISO,Spool,Subsystem,Test Pack,Pressure,Hydro Group,Module,Assembly,LF,Size,Conn,EHT,Insul,Stage
R01-PA-229-O-9116-01,R01-PA-229-O-9116-01-1,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 29,In-Rack,39.98,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-01,R01-PA-229-O-9116-01-2,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 29,In-Rack,8.96,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-01,R01-PA-229-O-9116-01-3,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 29,In-Rack,40.03,2,Lokring,NO,NO,INSTALL
R01-PA-229-O-9116-02,R01-PA-229-O-9116-02-1,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 28,In-Rack,40.06,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-02,R01-PA-229-O-9116-02-2,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 28,In-Rack,39.98,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-02,R01-PA-229-O-9116-02-3,26.01-CGP,TP-26.01-CGP-002,2175 PSIG,BULK TEST 7,Module 28,In-Rack,20.21,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-02,R01-PA-229-O-9116-02-4,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 28,In-Rack,20.01,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-02,R01-PA-229-O-9116-02-5,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 28,In-Rack,39.98,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-03,R01-PA-229-O-9116-03-1,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 27,In-Rack,39.95,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-03,R01-PA-229-O-9116-03-2,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 27,In-Rack,21.28,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-03,R01-PA-229-O-9116-03-3,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 27,In-Rack,8.86,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-03,R01-PA-229-O-9116-03-4,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 27,In-Rack,6.83,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-04,R01-PA-229-O-9116-04-1,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,12.76,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-04,R01-PA-229-O-9116-04-2,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,20.16,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-04,R01-PA-229-O-9116-04-3,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,35.86,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-05,R01-PA-229-O-9116-05-1,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,20.11,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-05,R01-PA-229-O-9116-05-2,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,18.7,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-05,R01-PA-229-O-9116-05-3,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,20.01,6,Weld,NO,NO,HYDRO
R01-PA-229-O-9116-05,R01-PA-229-O-9116-05-4,26.01-CGP,TP-26.01-CGP-001,2175 PSIG,SINGLE,Module 26,In-Rack,39.98,6,Weld,NO,NO,HYDRO
