Activity ID,Activity Name,Start Date,End Date,Subcontractor,Foreman,Manpower ,Equipment Loading,Critical Path,Completion
1,Form Deck,10/25/2023,10/26/2023,SubA,,8,,,
2,Insert MEPs,10/26/2023,10/27/2023,SubB,,4,,,
3,Pull Rebar,10/27/2023,10/28/2023,SubC,,12,,,
4,Insert embeds and EOS items,10/28/2023,10/29/2023,SubA,,3,,,
5,Quality control check and verify for concrete pour - Level 1,10/29/2023,10/30/2023,SubA,,2,,,
6,Pour Concrete,10/30/2023,10/31/2023,SubD,,15,,,
7,Finish and Cure,10/31/2023,11/1/2023,SubD,,5,,,
8,Strip Formwork and recycle - Level 1,11/1/2023,11/2/2023,SubA,,8,,,
9,Form Deck,11/2/2023,11/3/2023,SubA,,8,,,
10,Insert MEPs,11/3/2023,11/4/2023,SubB,,4,,,
11,Pull Rebar,11/4/2023,11/5/2023,SubC,,12,,,
12,Insert embeds and EOS items,11/5/2023,11/6/2023,SubA,,3,,,
13,Quality control check and verify for concrete pour,11/6/2023,11/7/2023,SubA,,2,,,
14,Pour Concrete,11/7/2023,11/8/2023,SubD,,15,,,
15,Finish and Cure,11/8/2023,11/9/2023,SubD,,5,,,
16,Strip Formwork and recycle,11/9/2023,11/10/2023,SubA,,8,,,
17,Form Deck,11/10/2023,11/11/2023,SubA,,8,,,
18,Insert MEPs,11/11/2023,11/12/2023,SubB,,4,,,
19,Pull Rebar,11/12/2023,11/13/2023,SubC,,12,,,
20,Insert embeds and EOS items,11/13/2023,11/14/2023,SubA,,3,,,
21,Quality control check and verify for concrete pour,11/14/2023,11/15/2023,SubA,,2,,,
22,Pour Concrete,11/15/2023,11/16/2023,SubD,,15,,,
23,Finish and Cure,11/16/2023,11/17/2023,SubD,,5,,,
24,Strip Formwork and recycle,11/17/2023,11/18/2023,SubA,,8,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,`,,,,
