Activity Description,Start Date,End Date,Dur,Subcontractor,Manpower
Site Preparation,1/1/2024,1/3/2024,2,Civil Workers Union,20
Foundation Work,1/4/2023,1/9/2023,5,Civil Workers Union,20
Framing and Structure,1/10/2023,1/24/2023,14,Umbers Ltd.,30
Roofing,1/24/2023,1/31/2023,7,Top Masters,20
Exterior Finishing,1/31/2023,3/14/2023,42,ResiSpec Co.,20
Interior Detailing,1/24/2023,4/4/2023,70,ResiSpec Co.,40
Landscaping,3/14/2023,4/4/2023,21,ResiSpec Co.,15
Final Walkthrough,4/5/2023,4/5/2023,1,InspeCo,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
